State, Facility Name, Facility ID (ORISPL), Month, Year, Gross Load (MW-h), SO2 (tons), NOx (tons), CO2 (short tons), Heat Input (MMBtu)
"AL","Decatur Energy Center","55292","4","2016","270496.19","0.574","9.25","113873.101","1916137.952",
"AL","Decatur Energy Center","55292","5","2016","197280.33","0.407","6.594","80573.243","1355681.024",
"AL","Decatur Energy Center","55292","6","2016","281430.36","0.615","9.51","121897.027","2051175.808",
"AL","Decatur Energy Center","55292","7","2016","316561.39","0.693","10.316","137299.2","2310312.741",
"AL","Decatur Energy Center","55292","8","2016","339640.14","0.738","10.715","146291.13","2461680.553",
"AL","Decatur Energy Center","55292","9","2016","226220.44","0.496","7.707","98122.645","1651084.726",
"AL","Decatur Energy Center","55292","10","2016","47353.95","0.094","1.994","18520.926","311645.532",
"AL","Decatur Energy Center","55292","11","2016","195152.06","0.424","6.803","83961.228","1412784.834",
"AL","Decatur Energy Center","55292","12","2016","227510.52","0.486","7.087","96206.478","1618847.705",
"AL","E B Harris Generating Plant","7897","1","2016","495720.5","1.014","17.281","200678.775","3376843.75",
"AL","E B Harris Generating Plant","7897","2","2016","396223.75","0.814","16.688","161364.2","2715295.975",
"AL","E B Harris Generating Plant","7897","3","2016","158559.25","0.322","4.725","63740","1072514.875",
"AL","E B Harris Generating Plant","7897","4","2016","400920","0.817","15.52","161893.525","2724215.65",
"AL","E B Harris Generating Plant","7897","5","2016","580307.5","1.173","23.505","232445.75","3911337.65",
"AL","E B Harris Generating Plant","7897","6","2016","596332.25","1.213","23.342","240127.4","4040567.275",
"AL","E B Harris Generating Plant","7897","7","2016","650624","1.322","20.526","261697.55","4403593.125",
"AL","E B Harris Generating Plant","7897","8","2016","785038.75","1.59","21.4","315149.15","5302987.125",
"AL","E B Harris Generating Plant","7897","9","2016","655707.75","1.331","20.973","263856.65","4439863.95",
"AL","E B Harris Generating Plant","7897","10","2016","562831","1.14","20.181","225835.125","3800084.1",
"AL","E B Harris Generating Plant","7897","11","2016","660068.5","1.325","19.365","262539.25","4417708.8",
"AL","E B Harris Generating Plant","7897","12","2016","313166.5","0.636","12.217","125860.075","2117836.2",
"AL","E C Gaston","26","1","2016","82781","1054.907","174.254","89069.475","868117.325",
"AL","E C Gaston","26","2","2016","51033.5","731.803","102.02","59165.575","576667.5",
"AL","E C Gaston","26","3","2016","389757.75","196.499","390.283","383000.475","3972106.8",
"AL","E C Gaston","26","4","2016","476905.5","189.212","185.472","501174.675","4947416.975",
"AL","E C Gaston","26","5","2016","495791","173.698","165.37","524604.9","5113099.4",
"AL","E C Gaston","26","6","2016","555027.25","187.205","222.605","565868.475","5973394.275",
"AL","E C Gaston","26","7","2016","680723.5","198.979","283.69","684565.5","7428429.775",
"AL","E C Gaston","26","8","2016","456370","184.085","166.442","506893.1","4944877",
"AL","E C Gaston","26","9","2016","565295.75","242.863","233.087","608347.875","6313497.225",
"AL","E C Gaston","26","10","2016","546529.25","195.215","209.699","613681.325","6099837.5",
"AL","E C Gaston","26","11","2016","71022.5","29.944","35.447","81370.4","793079.225",
"AL","E C Gaston","26","12","2016","324069.5","120.405","170.005","363994.95","3562436.1",
"AL","Gadsden","7","1","2016",,"0.857","12.042","13384.8","225768.175",
"AL","Gadsden","7","2","2016",,"0.747","10.623","11830.6","199580.7",
"AL","Gadsden","7","3","2016",,"0.793","11.376","12609.5","212577.2",
"AL","Gadsden","7","4","2016",,"0.741","10.667","11710.5","197553.225",
"AL","Gadsden","7","5","2016",,"0.99","13.814","15771.3","266053.425",
"AL","Gadsden","7","6","2016",,"0.941","14.233","15222.4","256780.875",
"AL","Gadsden","7","7","2016",,"0.985","13.524","15144.076","255454.65",
"AL","Gadsden","7","8","2016",,"0.872","10.462","13400.5","226045.8",
"AL","Gadsden","7","9","2016",,"0.93","12.879","14466.9","244033.775",
"AL","Gadsden","7","10","2016",,"0.875","13.98","12857","216894.55",
"AL","Gadsden","7","11","2016",,"0.819","14.199","12733.75","214672.225",
"AL","Gadsden","7","12","2016",,"0.734","12.838","13003.4","219354.8",
"AL","Gorgas","8","1","2016","498798.5","132.175","735.203","533095.792","5195850.775",
"AL","Gorgas","8","2","2016","528983.5","132.319","397.995","550430.782","5364819.675",
"AL","Gorgas","8","3","2016","240385","134.921","363.108","262049.671","2554094.4",
"AL","Gorgas","8","4","2016","594646","161.924","475.166","613682.081","5981312.4",
"AL","Gorgas","8","5","2016","505777.25","125.662","440.348","531418.603","5179513.525",
"AL","Gorgas","8","6","2016","226274.25","46.586","205.269","230155.001","2243224.65",
"AL","Gorgas","8","7","2016","689029.5","160.116","519.071","683575.534","6662530.975",
"AL","Gorgas","8","8","2016","661682","143.316","493.746","660252.477","6435224.4",
"AL","Gorgas","8","9","2016","593665.5","145.868","513.589","604257.511","5889442.45",
"AL","Gorgas","8","10","2016","515717","111.383","476.165","538976.8","5253180.35",
"AL","Gorgas","8","11","2016","523924","122.566","428.766","565522.506","5511907.225",
"AL","Gorgas","8","12","2016","330167.5","72.279","264.722","367537.103","3582233.85",
"AL","Greene County","10","1","2016","207085.25","2204.892","356.514","178539.505","1746997.35",
"AL","Greene County","10","2","2016","243743.25","2387.438","411.364","226262.225","2205708.575",
"AL","Greene County","10","3","2016","144619.5","1126.83","198.05","127341.019","1318877.15",
"AL","Greene County","10","4","2016","6765","0.03","3.433","6152.101","91193.675",
"AL","Greene County","10","5","2016","8897.75","48.579","10.162","11340.124","144258.15",
"AL","Greene County","10","6","2016","116160.5","2.546","66.588","71965.844","855557.225",
"AL","Greene County","10","7","2016","176519.25","4.854","111.738","106434.287","1773535.775",
"AL","Greene County","10","8","2016","125645.75","3.568","68.718","77646.226","1282429.95",
"AL","Greene County","10","9","2016","157092","4.396","106.656","104519.312","1732568.575",
"AL","Greene County","10","10","2016","97410.75","0.308","68.478","62387.823","1027764.975",
"AL","Greene County","10","11","2016","75615.5","0.224","45.025","45260.454","751619.4",
"AL","Greene County","10","12","2016","62447.25","0.185","32.296","37382.827","619004.35",
"AL","Hillabee Energy Center","55411","1","2016","333734.52","1.03","13.37","203986.605","3432500.691",
"AL","Hillabee Energy Center","55411","2","2016","308575.17","0.959","12.583","189971.678","3196635.001",
"AL","Hillabee Energy Center","55411","3","2016","313020.69","0.979","12.844","193910.952","3262911.115",
"AL","Hillabee Energy Center","55411","4","2016","210075.25","0.432","6.093","85503.227","1438752.469",
"AL","Hillabee Energy Center","55411","5","2016","549791","1.114","14.591","220609.8","3712177.3",
"AL","Hillabee Energy Center","55411","6","2016","522280","1.067","13.87","211371.5","3556749.3",
"AL","Hillabee Energy Center","55411","7","2016","487525.76","1.006","13.671","199267.097","3353042.638",
"AL","Hillabee Energy Center","55411","8","2016","505504.36","1.036","13.656","205225.355","3453311.929",
"AL","Hillabee Energy Center","55411","9","2016","505959.07","1.034","14.855","204878.48","3447467.455",
"AL","Hillabee Energy Center","55411","10","2016","236439.6","0.486","6.693","96416.826","1622393.462",
"AL","Hillabee Energy Center","55411","11","2016","537072","1.092","14.037","216185.6","3637740.7",
"AL","Hillabee Energy Center","55411","12","2016","494195.98","1.01","12.988","200002.638","3365432.605",
"AL","Hog Bayou Energy Center","55241","1","2016","175703","0.387","6.547","76638.5","1289599.1",
"AL","Hog Bayou Energy Center","55241","2","2016","159952.39","0.353","6.234","69977.735","1177501.117",
"AL","Hog Bayou Energy Center","55241","3","2016","169811","0.376","6.362","74504.9","1253699.7",
"AL","Hog Bayou Energy Center","55241","4","2016","114700.58","0.254","4.486","50305.19","846495.356",
"AL","Hog Bayou Energy Center","55241","5","2016","144876.08","0.315","5.373","62438.042","1050633.388",
"AL","Hog Bayou Energy Center","55241","6","2016","131730.58","0.29","5.566","57434.454","966440.203",
"AL","Hog Bayou Energy Center","55241","7","2016","120811.32","0.267","5.357","52859.346","889474.215",
"AL","Hog Bayou Energy Center","55241","8","2016","118996.48","0.263","5.341","52017.532","875274.683",
"AL","Hog Bayou Energy Center","55241","9","2016","107688.55","0.238","5.147","47180.807","793920.603",
"AL","Hog Bayou Energy Center","55241","10","2016","122913.34","0.269","5.052","53377.397","898173.4",
"AL","Hog Bayou Energy Center","55241","11","2016","106747.55","0.233","4.309","46101.217","775763.1",
"AL","Hog Bayou Energy Center","55241","12","2016","56831.63","0.125","2.48","24835.906","417896.863",
"AL","James H Miller Jr","6002","1","2016","1118069","39.575","558.931","1297032.475","12366819.675",
"AL","James H Miller Jr","6002","2","2016","979581","37.257","362.605","1132194.725","10795149.2",
"AL","James H Miller Jr","6002","3","2016","1308468.75","46.309","446.66","1433358.875","13666644.225",
"AL","James H Miller Jr","6002","4","2016","948765","35.533","359.033","1048388.1","9996068.775",
"AL","James H Miller Jr","6002","5","2016","1149040.25","49.35","420.522","1271179.775","12120351.125",
