State, Facility Name, Facility ID (ORISPL), Month, Year, Gross Load (MW-h), SO2 (tons), NOx (tons), CO2 (short tons), Heat Input (MMBtu)
"CA","Almond Power Plant","7315","9","2016","12735.17","0.037","0.617","7341.191","123540.01",
"CA","Almond Power Plant","7315","10","2016","23734.35","0.069","1.116","13602.026","228874.469",
"CA","Almond Power Plant","7315","11","2016","9894.08","0.028","0.537","5605.897","94322.235",
"CA","Almond Power Plant","7315","12","2016","1112.63","0.004","0.08","720.045","12112.886",
"CA","Anaheim Combustion Turbine","7693","1","2016","669.28","0.002","0.116","379.782","6388.264",
"CA","Anaheim Combustion Turbine","7693","2","2016","1161.4","0.003","0.147","640.372","10777.144",
"CA","Anaheim Combustion Turbine","7693","3","2016","1473.87","0.004","0.233","822.902","13851.392",
"CA","Anaheim Combustion Turbine","7693","4","2016","1631.33","0.005","0.229","917.13","15432.273",
"CA","Anaheim Combustion Turbine","7693","5","2016","1460.99","0.004","0.226","821.156","13814.33",
"CA","Anaheim Combustion Turbine","7693","6","2016","5519.29","0.016","0.557","3102.056","52203.534",
"CA","Anaheim Combustion Turbine","7693","7","2016","7302.61","0.021","0.717","4153.887","69906.755",
"CA","Anaheim Combustion Turbine","7693","8","2016","7381.11","0.021","0.762","4219.127","70992.692",
"CA","Anaheim Combustion Turbine","7693","9","2016","1140.89","0.003","0.114","636.298","10705.75",
"CA","Anaheim Combustion Turbine","7693","10","2016","6069.07","0.018","0.7","3470.461","58392.256",
"CA","Anaheim Combustion Turbine","7693","11","2016","6107.99","0.018","0.718","3501.635","58923.308",
"CA","Anaheim Combustion Turbine","7693","12","2016","325.62","0.001","0.038","187.883","3162.178",
"CA","Barre Generating Station","56474","1","2016","5236.59","0.015","0.343","3015.776","50746.415",
"CA","Barre Generating Station","56474","2","2016","4155.62","0.012","0.303","2409.206","40537.794",
"CA","Barre Generating Station","56474","3","2016","4485.55","0.013","0.277","2587.098","43523.519",
"CA","Barre Generating Station","56474","4","2016","2711.44","0.008","0.144","1564.753","26330.099",
"CA","Barre Generating Station","56474","5","2016","143.95","0","0.008","83.69","1407.59",
"CA","Barre Generating Station","56474","6","2016","119.79","0","0.008","70.629","1188.07",
"CA","Barre Generating Station","56474","7","2016","645.97","0.002","0.031","371.699","6256.223",
"CA","Barre Generating Station","56474","8","2016","1349.91","0.004","0.077","780.64","13130.827",
"CA","Barre Generating Station","56474","9","2016","3814.14","0.011","0.211","2205.352","37106.482",
"CA","Barre Generating Station","56474","10","2016","3170.6","0.009","0.181","1834.095","30869.331",
"CA","Barre Generating Station","56474","11","2016","496.17","0.001","0.036","287.88","4845.729",
"CA","Barre Generating Station","56474","12","2016","3354.91","0.01","0.25","1942.472","32692.188",
"CA","Blythe Energy","55295","1","2016",,,,,,
"CA","Blythe Energy","55295","2","2016","41984.45","0.14","2.474","27633.849","464989.112",
"CA","Blythe Energy","55295","3","2016","892.08","0.004","0.211","682.718","11485.644",
"CA","Blythe Energy","55295","4","2016","15326.18","0.053","2.006","10501.001","176699.244",
"CA","Blythe Energy","55295","5","2016","39602.1","0.125","1.622","24883.804","418716.883",
"CA","Blythe Energy","55295","6","2016","68747.24","0.223","4.034","44077.213","741703.226",
"CA","Blythe Energy","55295","7","2016","60107.11","0.193","3.186","38206.833","642898.98",
"CA","Blythe Energy","55295","8","2016","161297.7","0.52","8.166","103022.798","1733569.85",
"CA","Blythe Energy","55295","9","2016","71134.02","0.227","4.43","44862.973","754909.738",
"CA","Blythe Energy","55295","10","2016","89718.19","0.282","4.728","55954.46","941537.817",
"CA","Blythe Energy","55295","11","2016","41763.95","0.133","3.781","26474.022","445490.007",
"CA","Blythe Energy","55295","12","2016","5697.14","0.019","0.904","3662.564","61632.384",
"CA","Broadway","420","1","2016","4936.2","0.016","0.624","3478.064","58522.294",
"CA","Broadway","420","2","2016","1500","0.004","0.152","1080.56","18181.095",
"CA","Broadway","420","3","2016","1214.31","0.004","0.296","876.148","14740.76",
"CA","Broadway","420","4","2016","1996","0.007","0.406","1411.369","23751.141",
"CA","Broadway","420","5","2016",,,,,,
"CA","Broadway","420","6","2016","2410.36","0.008","0.297","1684.53","28342.826",
"CA","Broadway","420","7","2016","5488.5","0.016","1.107","3727.192","62717.958",
"CA","Broadway","420","8","2016","2812.17","0.009","0.663","2049.097","34475.694",
"CA","Broadway","420","9","2016","1322.03","0.004","0.335","982.948","16537.886",
"CA","Broadway","420","10","2016",,,,,,
"CA","Broadway","420","11","2016","3973.1","0.013","0.554","2600.68","43754.516",
"CA","Broadway","420","12","2016",,,,,,
"CA","Cabrillo Power I Encina Power Station","302","1","2016","14331.01","0.057","0.76","11197.008","188413.725",
"CA","Cabrillo Power I Encina Power Station","302","2","2016","13380.67","0.05","0.859","9813.726","165136.456",
"CA","Cabrillo Power I Encina Power Station","302","3","2016","4885.68","0.02","0.281","3669.443","61750.729",
"CA","Cabrillo Power I Encina Power Station","302","4","2016","2659.72","0.011","0.132","2227.286","37472.603",
"CA","Cabrillo Power I Encina Power Station","302","5","2016","5896.63","0.027","0.237","5388.882","90684.736",
"CA","Cabrillo Power I Encina Power Station","302","6","2016","80806.49","0.268","4.415","53153.165","894422.758",
"CA","Cabrillo Power I Encina Power Station","302","7","2016","58679.18","0.194","3.26","38501.807","647876.044",
"CA","Cabrillo Power I Encina Power Station","302","8","2016","44432.13","0.149","2.525","29554.069","497318.361",
"CA","Cabrillo Power I Encina Power Station","302","9","2016","26639.07","0.09","1.409","17722.448","298217.253",
"CA","Cabrillo Power I Encina Power Station","302","10","2016","28620.03","0.098","1.574","19408.52","326598.843",
"CA","Cabrillo Power I Encina Power Station","302","11","2016","41766.72","0.147","2.278","29077.117","489270.752",
"CA","Cabrillo Power I Encina Power Station","302","12","2016","21924.47","0.077","0.929","15348.49","258262.474",
"CA","CalPeak Power - Border","55510","1","2016","1017.42","0.003","0.063","632.996","10777.657",
"CA","CalPeak Power - Border","55510","2","2016","968.75","0.003","0.062","605.122","10304.105",
"CA","CalPeak Power - Border","55510","3","2016","507.61","0.002","0.029","318.27","5417.179",
"CA","CalPeak Power - Border","55510","4","2016",,,,,,
"CA","CalPeak Power - Border","55510","5","2016","42.55","0","0.004","27.095","460.702",
"CA","CalPeak Power - Border","55510","6","2016","1761.55","0.006","0.089","1078.385","18357.228",
"CA","CalPeak Power - Border","55510","7","2016","2481.62","0.008","0.132","1551.174","26409.248",
"CA","CalPeak Power - Border","55510","8","2016","1072.23","0.003","0.057","675.338","11496.816",
"CA","CalPeak Power - Border","55510","9","2016","1459.55","0.005","0.08","895.006","15237.686",
"CA","CalPeak Power - Border","55510","10","2016","821.62","0.003","0.05","516.358","8792.703",
"CA","CalPeak Power - Border","55510","11","2016","1301.29","0.004","0.073","818.731","13941.396",
"CA","CalPeak Power - Border","55510","12","2016","244.07","0.001","0.013","150.656","2563.095",
"CA","CalPeak Power - Enterprise","55513","1","2016","961.35","0.003","0.065","598.217","10223.815",
"CA","CalPeak Power - Enterprise","55513","2","2016","263.18","0.001","0.025","164.22","2808.062",
"CA","CalPeak Power - Enterprise","55513","3","2016","866.38","0.003","0.07","529.089","9045.501",
"CA","CalPeak Power - Enterprise","55513","4","2016","1373.82","0.004","0.108","855.949","14624.006",
"CA","CalPeak Power - Enterprise","55513","5","2016","453.87","0.001","0.036","284.523","4861.608",
"CA","CalPeak Power - Enterprise","55513","6","2016","1863.4","0.006","0.127","1135.858","19412.084",
"CA","CalPeak Power - Enterprise","55513","7","2016","2620.48","0.008","0.199","1631.249","27875.702",
"CA","CalPeak Power - Enterprise","55513","8","2016","1014.71","0.003","0.078","631.925","10795.084",
"CA","CalPeak Power - Enterprise","55513","9","2016","2026.08","0.006","0.22","1251.689","21392.561",
"CA","CalPeak Power - Enterprise","55513","10","2016","501.51","0.002","0.049","313.809","5363.389",
"CA","CalPeak Power - Enterprise","55513","11","2016","448.26","0.001","0.042","274.14","4683.633",
"CA","CalPeak Power - Enterprise","55513","12","2016","91.58","0","0.01","55.983","955.956",
"CA","CalPeak Power - Panoche","55508","1","2016","433.7","0.001","0.024","286.743","4884.885",
"CA","CalPeak Power - Panoche","55508","2","2016","1036.15","0.004","0.062","685.623","11682.138",
"CA","CalPeak Power - Panoche","55508","3","2016","1565.96","0.005","0.087","1025.267","17466.722",
"CA","CalPeak Power - Panoche","55508","4","2016","2944.77","0.01","0.16","1907.199","32498.791",
"CA","CalPeak Power - Panoche","55508","5","2016","2271.57","0.007","0.13","1457.836","24841.405",
"CA","CalPeak Power - Panoche","55508","6","2016","3198.74","0.01","0.182","2035.57","34687.593",
"CA","CalPeak Power - Panoche","55508","7","2016","3941.01","0.013","0.223","2513.666","42833.968",
"CA","CalPeak Power - Panoche","55508","8","2016","436.69","0.001","0.028","288.66","4917.828",
"CA","CalPeak Power - Panoche","55508","9","2016","807.91","0.003","0.05","521.688","8892.309",
"CA","CalPeak Power - Panoche","55508","10","2016","521.71","0.002","0.03","348.989","5943.569",
"CA","CalPeak Power - Panoche","55508","11","2016","775.53","0.003","0.044","509.743","8683.762",
"CA","CalPeak Power - Panoche","55508","12","2016","133.18","0","0.008","88.51","1507.986",
"CA","CalPeak Power - Vaca Dixon","55499","1","2016","411.96","0.001","0.019","258.471","4438.689",
"CA","CalPeak Power - Vaca Dixon","55499","2","2016","1115.89","0.004","0.084","708.992","12177.551",
"CA","CalPeak Power - Vaca Dixon","55499","3","2016","1914.35","0.006","0.095","1200.364","20612.328",
"CA","CalPeak Power - Vaca Dixon","55499","4","2016","1925.66","0.006","0.088","1202.883","20659.186",
"CA","CalPeak Power - Vaca Dixon","55499","5","2016","1737.33","0.006","0.085","1080.732","18560.023",
"CA","CalPeak Power - Vaca Dixon","55499","6","2016","1523.13","0.005","0.081","943.564","16204.86",
"CA","CalPeak Power - Vaca Dixon","55499","7","2016","2787.53","0.009","0.14","1707.048","29309.56",
"CA","CalPeak Power - Vaca Dixon","55499","8","2016","203.62","0.001","0.011","132.097","2268.041",
"CA","CalPeak Power - Vaca Dixon","55499","9","2016","781.08","0.003","0.039","492.147","8448.188",
"CA","CalPeak Power - Vaca Dixon","55499","10","2016","637.84","0.002","0.03","407.221","6993.63",
"CA","CalPeak Power - Vaca Dixon","55499","11","2016","586.82","0.002","0.05","410.057","7041.284",
"CA","CalPeak Power - Vaca Dixon","55499","12","2016","172.53","0.001","0.009","108.617","1865.442",
"CA","Calpine Sutter Energy Center","55112","1","2016",,,,,,
"CA","Calpine Sutter Energy Center","55112","2","2016","299.19","0","0.147","167.325","2815.99",
"CA","Calpine Sutter Energy Center","55112","3","2016",,,,,,
"CA","Calpine Sutter Energy Center","55112","4","2016",,,,,,
"CA","Calpine Sutter Energy Center","55112","5","2016",,,,,,
"CA","Calpine Sutter Energy Center","55112","6","2016",,,,,,
"CA","Calpine Sutter Energy Center","55112","7","2016",,,,,,
"CA","Calpine Sutter Energy Center","55112","8","2016",,,,,,
"CA","Calpine Sutter Energy Center","55112","9","2016",,,,,,
"CA","Calpine Sutter Energy Center","55112","10","2016",,,,,,
"CA","Calpine Sutter Energy Center","55112","11","2016",,,,,,
"CA","Calpine Sutter Energy Center","55112","12","2016",,,,,,
"CA","Canyon Power Plant","57027","1","2016","3682.59","0.011","0.183","2199.241","37005.119",
"CA","Canyon Power Plant","57027","2","2016","3650.51","0.01","0.17","2149.48","36169.133",
"CA","Canyon Power Plant","57027","3","2016","1629.05","0.005","0.125","1075.723","18100.971",
"CA","Canyon Power Plant","57027","4","2016","3800.33","0.012","0.233","2268.769","38173.954",
"CA","Canyon Power Plant","57027","5","2016","2055.45","0.006","0.105","1199.067","20177.06",
"CA","Canyon Power Plant","57027","6","2016","18908.08","0.055","0.748","11024.533","185500.938",
"CA","Canyon Power Plant","57027","7","2016","20840.79","0.062","0.828","12161.168","204629.636",
"CA","Canyon Power Plant","57027","8","2016","20220.08","0.058","0.779","11680.15","196536.797",
"CA","Canyon Power Plant","57027","9","2016","16986.9","0.05","0.703","9980.946","167950.55",
"CA","Canyon Power Plant","57027","10","2016","13153.55","0.04","0.593","7747.818","130360.361",
"CA","Canyon Power Plant","57027","11","2016","12692.99","0.038","0.597","7475.334","125778.204",
"CA","Canyon Power Plant","57027","12","2016","10848.11","0.033","0.489","6585.597","110806.44",
"CA","Carson Cogeneration Company","10169","1","2016","5092.93","0.013","0.858","2508.214","42204.799",
"CA","Carson Cogeneration Company","10169","2","2016","0","0","0.005","0.462","7.812",
"CA","Carson Cogeneration Company","10169","3","2016",,,,,,
"CA","Carson Cogeneration Company","10169","4","2016","726.3","0.002","0.305","366.065","6158.656",
"CA","Carson Cogeneration Company","10169","5","2016","313.49","0.001","0.148","158.942","2674.058",
"CA","Carson Cogeneration Company","10169","6","2016","7241.5","0.018","1.316","3543.954","59627.544",
"CA","Carson Cogeneration Company","10169","7","2016","4483.76","0.011","0.904","2189.175","36831.987",
"CA","Carson Cogeneration Company","10169","8","2016","11011.08","0.027","1.873","5367.678","90326.422",
"CA","Carson Cogeneration Company","10169","9","2016","5425.98","0.013","1.052","2654.55","44666.399",
"CA","Carson Cogeneration Company","10169","10","2016","5963.66","0.015","1.21","2937.449","49436.721",
"CA","Carson Cogeneration Company","10169","11","2016","4310.71","0.011","1.23","2140.92","36034.039",
"CA","Carson Cogeneration Company","10169","12","2016",,,,,,
"CA","Center Generating Station","56475","1","2016","5213.57","0.015","0.353","2971.765","50005.507",
"CA","Center Generating Station","56475","2","2016","4387.63","0.013","0.281","2552.787","42963.632",
"CA","Center Generating Station","56475","3","2016","4765.92","0.014","0.275","2753.87","46343.506",
"CA","Center Generating Station","56475","4","2016","2132.06","0.006","0.112","1234.09","20765.921",
"CA","Center Generating Station","56475","5","2016","15.38","0","0.003","9.819","164.998",
"CA","Center Generating Station","56475","6","2016","880.1","0.003","0.04","508.282","8555.099",
"CA","Center Generating Station","56475","7","2016",,,,,,
"CA","Center Generating Station","56475","8","2016","1284.06","0.004","0.065","744.219","12522.607",
"CA","Center Generating Station","56475","9","2016","3288.88","0.01","0.165","1908.096","32103.727",
"CA","Center Generating Station","56475","10","2016","3100.8","0.009","0.156","1794.456","30191.181",
"CA","Center Generating Station","56475","11","2016",,,,,,
"CA","Center Generating Station","56475","12","2016","3139.36","0.009","0.215","1819.475","30615.722",
"CA","Chula Vista Energy Center","55540","1","2016","5.14","0","0.006","38.941","654.956",
"CA","Chula Vista Energy Center","55540","2","2016","41.09","0.002","0.028","265.451","4469.588",
"CA","Chula Vista Energy Center","55540","3","2016","350.1","0.002","0.032","499.214","8400.175",
"CA","Chula Vista Energy Center","55540","4","2016","94.73","0.002","0.05","543.881","9148.764",
"CA","Chula Vista Energy Center","55540","5","2016","102.8","0","0.026","131.08","2205.38",
"CA","Chula Vista Energy Center","55540","6","2016","1328.04","0.01","0.196","1924.59","32388.367",
"CA","Chula Vista Energy Center","55540","7","2016","985.41","0.006","0.249","1333.67","22439.038",
"CA","Chula Vista Energy Center","55540","8","2016","278.56","0.002","0.027","382.973","6441.955",
"CA","Chula Vista Energy Center","55540","9","2016","298.11","0.002","0.032","413.24","6953.321",
"CA","Chula Vista Energy Center","55540","10","2016","389.32","0.002","0.046","528.765","8895.965",
"CA","Chula Vista Energy Center","55540","11","2016","108.6","0","0.016","143.457","2415.297",
"CA","Chula Vista Energy Center","55540","12","2016",,,,,,
"CA","Colusa Generating Station","56532","1","2016","346898.06","0.727","4.509","143938.652","2422062.426",
"CA","Colusa Generating Station","56532","2","2016","202470.19","0.429","2.894","84856.202","1427910.405",
"CA","Colusa Generating Station","56532","3","2016","128556.34","0.293","3.129","57914.618","974539.29",
"CA","Colusa Generating Station","56532","4","2016","234734.9","0.509","3.611","100909.455","1698002.803",
"CA","Colusa Generating Station","56532","5","2016","168492.11","0.374","3.347","74127.173","1247363.713",
"CA","Colusa Generating Station","56532","6","2016","197322.64","0.435","3.793","86044.365","1447870.427",
"CA","Colusa Generating Station","56532","7","2016","206528.86","0.447","3.93","88554.028","1490107.829",
"CA","Colusa Generating Station","56532","8","2016","293839.04","0.623","3.412","123429.811","2076940.354",
"CA","Colusa Generating Station","56532","9","2016","342108.51","0.711","3.278","140918.226","2371203.079",
"CA","Colusa Generating Station","56532","10","2016","211899.93","0.443","3.528","87646.85","1474861.196",
"CA","Colusa Generating Station","56532","11","2016","282433.37","0.585","4.211","115762.286","1947905.769",
"CA","Colusa Generating Station","56532","12","2016","326669.67","0.683","4.699","135182.987","2274710.948",
"CA","Cosumnes Power Plant","55970","1","2016","386866.8","0.804","6.703","158161.264","2681994.884",
"CA","Cosumnes Power Plant","55970","2","2016","361949","0.757","6.333","148768.7","2522738.6",
"CA","Cosumnes Power Plant","55970","3","2016","315655.35","0.651","5.497","128206.87","2167757.03",
"CA","Cosumnes Power Plant","55970","4","2016","131528.19","0.281","2.692","54829.051","936101.756",
"CA","Cosumnes Power Plant","55970","5","2016","273018.58","0.581","4.97","114356.064","1935420.223",
"CA","Cosumnes Power Plant","55970","6","2016","319882.36","0.668","5.698","132164.59","2226034.47",
"CA","Cosumnes Power Plant","55970","7","2016","344613.1","0.719","6.436","141576.07","2396132.771",
"CA","Cosumnes Power Plant","55970","8","2016","369170","0.756","6.393","148833.9","2518930.8",
"CA","Cosumnes Power Plant","55970","9","2016","361555.4","0.755","6.355","147736.45","2517408.675",
"CA","Cosumnes Power Plant","55970","10","2016","348147.48","0.723","6.322","142159.904","2410637.654",
"CA","Cosumnes Power Plant","55970","11","2016","370968","0.77","6.499","151369.9","2566861.6",
"CA","Cosumnes Power Plant","55970","12","2016","386644","0.791","7.008","155840.7","2637546.6",
"CA","Creed Energy Center","55625","1","2016","104.62","0","0.032","68.033","1144.11",
"CA","Creed Energy Center","55625","2","2016","321.65","0.001","0.038","206.885","3482.642",
"CA","Creed Energy Center","55625","3","2016","597.45","0.002","0.093","396.514","6675.335",
"CA","Creed Energy Center","55625","4","2016","716.89","0.002","0.103","449.018","7556.412",
"CA","Creed Energy Center","55625","5","2016","1095.07","0.003","0.112","671.074","11292.793",
"CA","Creed Energy Center","55625","6","2016","1119.21","0.004","0.147","715.916","12049.681",
"CA","Creed Energy Center","55625","7","2016","2697.15","0.008","0.209","1597.961","26887.999",
"CA","Creed Energy Center","55625","8","2016","730.58","0.002","0.149","482.851","8125.026",
"CA","Creed Energy Center","55625","9","2016","624.89","0.002","0.101","402.224","6770.258",
"CA","Creed Energy Center","55625","10","2016","719.66","0.002","0.124","481.221","8095.555",
"CA","Creed Energy Center","55625","11","2016","384.41","0.001","0.078","269.587","4537.627",
"CA","Creed Energy Center","55625","12","2016",,,,,,
"CA","Cuyamaca Peak Energy","55512","1","2016","969.78","0.003","0.063","592.296","10126.295",
"CA","Cuyamaca Peak Energy","55512","2","2016","934.27","0.003","0.068","574.511","9820.672",
"CA","Cuyamaca Peak Energy","55512","3","2016","588.67","0.002","0.035","375.506","6417.561",
"CA","Cuyamaca Peak Energy","55512","4","2016","346.6","0.001","0.024","216.29","3698.032",
"CA","Cuyamaca Peak Energy","55512","5","2016","366.92","0.001","0.025","227.335","3885.425",
"CA","Cuyamaca Peak Energy","55512","6","2016","1115.21","0.004","0.058","684.949","11706.76",
"CA","Cuyamaca Peak Energy","55512","7","2016","1894.93","0.006","0.092","1171.567","20024.252",
"CA","Cuyamaca Peak Energy","55512","8","2016","427.55","0.001","0.024","264.466","4520.033",
"CA","Cuyamaca Peak Energy","55512","9","2016","2226.53","0.007","0.111","1378.185","23548.563",
"CA","Cuyamaca Peak Energy","55512","10","2016","0","0","0","1.08","18.504",
"CA","Cuyamaca Peak Energy","55512","11","2016",,,,,,
"CA","Cuyamaca Peak Energy","55512","12","2016",,,,,,
"CA","DTE Stockton","54238","1","2016","31549.7","0.128","9.143","46930.207","450238.367",
"CA","DTE Stockton","54238","2","2016","33915","0.25","9.098","50348.6","482684.2",
"CA","DTE Stockton","54238","3","2016","35261","0.545","9.153","52819.1","506358.1",
"CA","DTE Stockton","54238","4","2016","19037","0.578","5.671","30304.7","291021.488",
"CA","DTE Stockton","54238","5","2016","35751","2.207","19.941","54753.942","525107.72",
"CA","DTE Stockton","54238","6","2016","31443","0.014","9.373","47557.32","456241.92",
"CA","DTE Stockton","54238","7","2016","31894","0.016","9.461","48097.3","461795.76",
"CA","DTE Stockton","54238","8","2016","32012","0.029","9.912","49929.5","478986.93",
"CA","DTE Stockton","54238","9","2016","34501","0.012","10.668","54279.4","520354",
"CA","DTE Stockton","54238","10","2016","25686","0.018","7.984","40626.4","389548.03",
"CA","DTE Stockton","54238","11","2016","28819.88","0.035","8.77","44543.336","427815.552",
"CA","DTE Stockton","54238","12","2016","35737.6","0.103","11.084","56106.595","538118.813",
"CA","Delano Energy Center, LLC","58122","1","2016","1536.04","0.004","0.068","854.587","14380.603",
"CA","Delano Energy Center, LLC","58122","2","2016","599.87","0.002","0.021","392.252","6603.659",
"CA","Delano Energy Center, LLC","58122","3","2016","850.06","0.003","0.095","598.119","10066.547",
"CA","Delano Energy Center, LLC","58122","4","2016","471.5","0.002","0.02","335.086","5642.628",
"CA","Delano Energy Center, LLC","58122","5","2016","61.56","0","0.048","43.56","732.625",
"CA","Delano Energy Center, LLC","58122","6","2016","406.46","0.001","0.016","281.361","4734.271",
"CA","Delano Energy Center, LLC","58122","7","2016","89.67","0","0.013","58.532","984.749",
"CA","Delano Energy Center, LLC","58122","8","2016","3163.88","0.01","0.138","1958.648","32962.839",
"CA","Delano Energy Center, LLC","58122","9","2016","1507.57","0.005","0.067","960.162","16151.273",
"CA","Delano Energy Center, LLC","58122","10","2016","1882.07","0.006","0.094","1266.663","21305.9",
"CA","Delano Energy Center, LLC","58122","11","2016","1141.61","0.004","0.051","720.316","12121.02",
"CA","Delano Energy Center, LLC","58122","12","2016","293.21","0.001","0.012","229.29","3859.024",
"CA","Delta Energy Center, LLC","55333","1","2016","447639.05","0.931","12.637","184532.313","3105127.212",
"CA","Delta Energy Center, LLC","55333","2","2016","403290.9","0.844","11.728","167170.88","2813025.063",
"CA","Delta Energy Center, LLC","55333","3","2016","71898.39","0.155","2.676","30690.132","516419.834",
"CA","Delta Energy Center, LLC","55333","4","2016","267818.23","0.563","8.309","111669.903","1879069.921",
"CA","Delta Energy Center, LLC","55333","5","2016","89402.48","0.19","3.203","37538.967","631668.785",
"CA","Delta Energy Center, LLC","55333","6","2016","255017.18","0.627","8.633","124261.23","2090939.383",
"CA","Delta Energy Center, LLC","55333","7","2016","341194.12","0.716","9.932","141919.532","2388083.544",
"CA","Delta Energy Center, LLC","55333","8","2016","488628.23","1.02","13.695","202025.741","3399455.786",
"CA","Delta Energy Center, LLC","55333","9","2016","300488.41","0.632","8.821","125106.641","2105112.546",
"CA","Delta Energy Center, LLC","55333","10","2016","301771.65","0.636","8.822","125798.262","2116773.755",
"CA","Delta Energy Center, LLC","55333","11","2016","145808.01","0.308","4.505","61069.15","1027591.385",
"CA","Delta Energy Center, LLC","55333","12","2016","381059.74","0.792","10.775","156882.581","2639812.852",
"CA","Donald Von Raesfeld","56026","1","2016","87268.49","0.197","2.148","39053.89","657148.389",
"CA","Donald Von Raesfeld","56026","2","2016","83323","0.19","2.095","37670.6","633866.1",
"CA","Donald Von Raesfeld","56026","3","2016","88875","0.202","2.262","40004.6","673141.1",
"CA","Donald Von Raesfeld","56026","4","2016","35768.43","0.082","0.942","16227.627","273082.428",
"CA","Donald Von Raesfeld","56026","5","2016","88453.12","0.201","2.52","39907.722","671488.072",
"CA","Donald Von Raesfeld","56026","6","2016","86575","0.199","2.365","39394.2","662889.1",
"CA","Donald Von Raesfeld","56026","7","2016","89238.25","0.205","2.551","40599.759","683196.565",
"CA","Donald Von Raesfeld","56026","8","2016","88362.3","0.205","2.473","40499.899","681492.997",
"CA","Donald Von Raesfeld","56026","9","2016","76896.87","0.177","2.052","35159.904","591656.308",
"CA","Donald Von Raesfeld","56026","10","2016","87201.84","0.201","2.139","39941.184","672102.636",
"CA","Donald Von Raesfeld","56026","11","2016","73332.61","0.168","1.778","33187.406","558438.676",
"CA","Donald Von Raesfeld","56026","12","2016","88607.95","0.2","2.104","39766.171","669099.016",
"CA","El Cajon Energy Center","57001","1","2016","1227.58","0.004","0.096","776.039","13056.076",
"CA","El Cajon Energy Center","57001","2","2016","1306.72","0.004","0.113","812.502","13677.962",
"CA","El Cajon Energy Center","57001","3","2016","772.8","0.003","0.085","503.73","8476.713",
"CA","El Cajon Energy Center","57001","4","2016","225.06","0.001","0.03","148.506","2499.328",
"CA","El Cajon Energy Center","57001","5","2016","189.07","0.001","0.019","116.848","1963.916",
"CA","El Cajon Energy Center","57001","6","2016","552.37","0.002","0.05","344.037","5791.605",
"CA","El Cajon Energy Center","57001","7","2016","1509.25","0.005","0.143","926.183","15578.559",
"CA","El Cajon Energy Center","57001","8","2016","1736.83","0.005","0.164","1041.618","17522.559",
"CA","El Cajon Energy Center","57001","9","2016","1808.67","0.006","0.117","1103.487","18572.306",
"CA","El Cajon Energy Center","57001","10","2016","416.09","0.001","0.049","268.625","4518.316",
"CA","El Cajon Energy Center","57001","11","2016","654.27","0.002","0.048","424.444","7146.106",
"CA","El Cajon Energy Center","57001","12","2016","339.51","0.001","0.027","202.315","3406.247",
"CA","El Centro","389","1","2016","57151.1","0.138","1.891","27415.06","461293.012",
"CA","El Centro","389","2","2016","55518.68","0.133","1.157","26348.445","443389.287",
"CA","El Centro","389","3","2016","45541","0.118","3.726","23129.174","389225.63",
"CA","El Centro","389","4","2016","62477.4","0.161","6.988","31851.71","535958.14",
"CA","El Centro","389","5","2016","27823.04","0.082","6.535","16265.269","273687.384",
"CA","El Centro","389","6","2016","138999.57","0.36","16.456","71339.233","1200402.244",
"CA","El Centro","389","7","2016","156952.05","0.403","17.248","80057.51","1347144.264",
"CA","El Centro","389","8","2016","160797.92","0.413","16.677","81911.866","1378310.095",
"CA","El Centro","389","9","2016","124881.81","0.317","11.566","62737.171","1055648.124",
"CA","El Centro","389","10","2016","94749.84","0.235","7.757","46724.619","786276.489",
"CA","El Centro","389","11","2016","72506.2","0.186","6.751","36650.51","616704.85",
"CA","El Centro","389","12","2016","76055.86","0.189","6.12","37433.651","629890.402",
"CA","El Segundo","330","1","2016","125412.89","0.305","1.956","60471.391","1017539.417",
"CA","El Segundo","330","2","2016","10458.53","0.029","0.383","5664.704","95314.747",
"CA","El Segundo","330","3","2016","2283.94","0.007","0.137","1327.772","22342.399",
"CA","El Segundo","330","4","2016","12996.63","0.034","0.507","6837.09","115048.972",
"CA","El Segundo","330","5","2016","11616.22","0.029","0.285","5693.745","95811.339",
"CA","El Segundo","330","6","2016","157901.49","0.381","2.548","75539.415","1271095.668",
"CA","El Segundo","330","7","2016","172030.82","0.415","2.662","82261.627","1384203.758",
"CA","El Segundo","330","8","2016","207588.77","0.499","3.366","98895.954","1664136.202",
"CA","El Segundo","330","9","2016","170124.82","0.408","2.616","80790.75","1359469.316",
"CA","El Segundo","330","10","2016","218627.56","0.525","3.422","103850.478","1747457.086",
"CA","El Segundo","330","11","2016","48557.76","0.118","0.898","23446.538","394529.251",
"CA","El Segundo","330","12","2016","94276.52","0.232","2.263","46140.833","776425.139",
"CA","Escondido Energy Center, LLC","55538","1","2016","1580.85","0.005","0.097","919.744","15476.695",
"CA","Escondido Energy Center, LLC","55538","2","2016","1786.05","0.005","0.098","1024.759","17243.372",
"CA","Escondido Energy Center, LLC","55538","3","2016","2417.54","0.007","0.117","1379.911","23222.239",
"CA","Escondido Energy Center, LLC","55538","4","2016","1768.3","0.005","0.097","1053.438","17729.036",
"CA","Escondido Energy Center, LLC","55538","5","2016","921.11","0.003","0.061","554.069","9321.17",
"CA","Escondido Energy Center, LLC","55538","6","2016","3197.91","0.01","0.14","1896.192","31905.715",
