State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Month, Year, Program(s), Operating Time, Gross Load (MW-h), Steam Load (1000lb), SO2 (tons), Avg. NOx Rate (lb/MMBtu), NOx (tons), CO2 (short tons), Heat Input (MMBtu), EPA Region, NERC Region, Unit Type, Fuel Type (Primary)
"GA","Wansley CC (55965)","55965","7B",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","649.43","165698.52",,"0.346","0.0122","5.494","68498.061","1152611.791","4",,"Combined cycle","Pipeline Natural Gas",
"GA","Washington County Power, LLC","55332","T1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","0.0",,,,,,,,"4",,"Combustion turbine","Pipeline Natural Gas",
"GA","Washington County Power, LLC","55332","T2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","4.05","617.79",,"0.002","0.0486","0.144","391.512","6587.539","4",,"Combustion turbine","Pipeline Natural Gas",
"GA","Washington County Power, LLC","55332","T3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","25.45","3999.81",,"0.012","0.0474","0.853","2470.586","41572.823","4",,"Combustion turbine","Pipeline Natural Gas",
"GA","Washington County Power, LLC","55332","T4",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","10.16","1534.72",,"0.005","0.0319","0.232","941.36","15838.164","4",,"Combustion turbine","Pipeline Natural Gas",
"GA","Yates","728","Y6BR",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","270.86","23257.15",,"0.076","0.1274","16.407","15001.167","252432.606","4","SERC","Tangentially-fired","Pipeline Natural Gas",
"GA","Yates","728","Y7BR",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","271.08","23096.89",,"0.075","0.1235","15.868","14882.557","250434.79","4","SERC","Tangentially-fired","Pipeline Natural Gas",
"IA","Ames","1122","7",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7","MAPP","Tangentially-fired","Coal, Natural Gas",
"IA","Ames","1122","8",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","690.75","24567.75",,"1.193","0.1275","21.017","18454.35","311319.55","7","MAPP","Dry bottom wall-fired boiler","Natural Gas",
"IA","Burlington (IA)","1104","1",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","534.83","76971.91",,"203.607","0.1386","55.08","81910.209","782691.345","7","MAPP","Tangentially-fired","Coal",
"IA","Centerville","1105","1",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7",,"Combustion turbine","Diesel Oil",
"IA","Centerville","1105","2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7",,"Combustion turbine","Diesel Oil",
"IA","Dayton Avenue Substation","6463","GT2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","0.0",,,,,,,,"7","MAPP","Combustion turbine","Diesel Oil",
"IA","Dubuque","1046","1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7","MAPP","Dry bottom wall-fired boiler","Natural Gas",
"IA","Dubuque","1046","5",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7","MAPP","Dry bottom wall-fired boiler","Natural Gas",
"IA","Dubuque","1046","6",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7","MAPP","Dry bottom wall-fired boiler","Natural Gas",
"IA","Earl F Wisdom","1217","1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","20.68","171.1",,"0.001","0.0779","0.102","142.806","2403.382","7","MAPP","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"IA","Earl F Wisdom","1217","2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","15.87","735.33",,"0.003","0.0545","0.182","580.032","9757.901","7","MAPP","Combustion turbine","Pipeline Natural Gas",
"IA","Electrifarm","6063","1",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7",,"Combustion turbine","Pipeline Natural Gas",
"IA","Electrifarm","6063","2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","2.0","14.0",,"0.0","0.213","0.031",,"289.9","7",,"Combustion turbine","Pipeline Natural Gas",
"IA","Electrifarm","6063","3",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","2.0","13.0",,"0.0","0.246","0.027",,"220.1","7",,"Combustion turbine","Pipeline Natural Gas",
"IA","Emery Station","8031","11",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","481.71","113249.18",,"0.242","0.0158","3.696","47891.096","805847.768","7",,"Combined cycle","Pipeline Natural Gas",
"IA","Emery Station","8031","12",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","543.16","124164.33",,"0.263","0.0201","4.493","52044.356","875738.974","7",,"Combined cycle","Pipeline Natural Gas",
"IA","Exira Station","56013","U-1",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","20.04","502.59",,"0.002","0.1128","0.249","316.586","5329.067","7","MAPP","Combustion turbine","Pipeline Natural Gas",
"IA","Exira Station","56013","U-2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","18.7","465.42",,"0.002","0.1165","0.233","300.185","5050.435","7","MAPP","Combustion turbine","Pipeline Natural Gas",
"IA","Exira Station","56013","U-3",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","20.09","494.46",,"0.002","0.1163","0.246","313.728","5280.909","7","MAPP","Combustion turbine","Pipeline Natural Gas",
"IA","George Neal North","1091","1",,"5","2016","ARP, MATS, CSNOX, CSSO2G1","0.0",,,,,,,,"7",,"Cyclone boiler","Coal",
"IA","George Neal North","1091","2",,"5","2016","ARP, MATS, CSNOX, CSSO2G1","0.0",,,,,,,,"7",,"Dry bottom wall-fired boiler","Coal",
"IA","George Neal North","1091","3",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","424.5","130971.5",,"153.534","0.1749","116.475","131097.35","1249972.0","7",,"Dry bottom wall-fired boiler","Coal",
"IA","George Neal South","7343","4",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","425.25","156227.0",,"269.612","0.1694","131.943","149216.325","1422733.025","7","MAPP","Dry bottom wall-fired boiler","Coal",
"IA","Greater Des Moines Energy Center","7985","1",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","175.84","25209.66",,"0.084","0.0139","1.304","16607.713","279454.046","7",,"Combined cycle","Pipeline Natural Gas",
"IA","Greater Des Moines Energy Center","7985","2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","178.18","25399.23",,"0.084","0.0113","1.164","16638.203","279969.877","7",,"Combined cycle","Pipeline Natural Gas",
"IA","Grinnell","7137","1",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7",,"Combustion turbine","Natural Gas",
"IA","Grinnell","7137","2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7",,"Combustion turbine","Natural Gas",
"IA","Lansing","1047","4",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","90.62","7465.88",,"3.637","0.0838","4.546","9388.664","91000.514","7","MAPP","Dry bottom turbo-fired boiler","Coal",
"IA","Lime Creek","7155","**1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7","MAPP","Combustion turbine","Diesel Oil",
"IA","Lime Creek","7155","**2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7","MAPP","Combustion turbine","Diesel Oil",
"IA","Louisa","6664","101",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","397.78","184300.96",,"278.426","0.1752","164.252","188609.515","1798333.747","7","MAPP","Dry bottom wall-fired boiler","Coal",
"IA","Marshalltown CTs","1068","1A",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7",,"Combustion turbine","Diesel Oil",
"IA","Marshalltown CTs","1068","1B",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7",,"Combustion turbine","Diesel Oil",
"IA","Marshalltown CTs","1068","2A",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7",,"Combustion turbine","Diesel Oil",
"IA","Marshalltown CTs","1068","2B",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7",,"Combustion turbine","Diesel Oil",
"IA","Marshalltown CTs","1068","3A",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7",,"Combustion turbine","Diesel Oil",
"IA","Marshalltown CTs","1068","3B",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7",,"Combustion turbine","Diesel Oil",
"IA","Milton L Kapp","1048","2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","45.56","2702.0",,"0.008","0.0898","1.721","1992.647","33560.796","7","MAPP","Tangentially-fired","Natural Gas",
"IA","Muscatine","1167","8",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","440.88","19930.0",,"65.576","0.7603","92.785","25072.272","239049.868","7","MAPP","Cyclone boiler","Coal",
"IA","Muscatine","1167","9",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","543.67","48858.41",,"2.753","0.1579","41.872","57704.04","550189.918","7","MAPP","Tangentially-fired","Coal",
"IA","Ottumwa","6254","1",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","235.29","84654.94",,"24.766","0.1498","69.937","101664.279","969964.919","7","MAPP","Tangentially-fired","Coal",
"IA","Pleasant Hill Energy Center","7145","1",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","14.0","353.0",,"0.001","0.1446","0.308",,"4252.6","7","MAPP","Combustion turbine","Pipeline Natural Gas",
"IA","Pleasant Hill Energy Center","7145","2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7","MAPP","Combustion turbine","Pipeline Natural Gas",
"IA","Pleasant Hill Energy Center","7145","3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","8.02","301.15",,"0.001","0.1141","0.202","265.98","4473.882","7","MAPP","Combustion turbine","Pipeline Natural Gas",
"IA","Prairie Creek","1073","3",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","233.22",,"39660.84","11.854","0.3285","11.358","6808.72","66130.591","7","MAPP","Dry bottom wall-fired boiler","Coal",
"IA","Prairie Creek","1073","4",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","488.8",,"287812.8","97.317","0.1965","53.556","54479.99","520667.71","7","MAPP","Dry bottom wall-fired boiler","Coal",
"IA","Riverside (1081)","1081","9",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7","MAPP","Tangentially-fired","Pipeline Natural Gas",
"IA","Streeter Station","1131","7",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","71.29","698.05",,"4.074","0.3566","2.582","834.713","10832.441","7","MAPP","Dry bottom wall-fired boiler","Coal",
"IA","Summit Lake","1206","1G",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","14.62","356.5",,"0.002","0.3578","1.12",,"5856.66","7","MAPP","Combustion turbine","Pipeline Natural Gas",
"IA","Summit Lake","1206","2G",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7","MAPP","Combustion turbine","Pipeline Natural Gas",
"IA","Sutherland","1077","1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7","MAPP","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"IA","Sutherland","1077","3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7","MAPP","Cyclone boiler","Pipeline Natural Gas",
"IA","Sycamore Combustion Turbine","8029","1",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","4.88","104.64",,"0.001","0.2577","0.3",,"2187.812","7",,"Combustion turbine","Pipeline Natural Gas",
"IA","Sycamore Combustion Turbine","8029","2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","4.8","105.12",,"0.001","0.2667","0.323",,"2279.396","7",,"Combustion turbine","Pipeline Natural Gas",
"IA","Walter Scott Jr. Energy Center","1082","3",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","642.5","366183.0",,"598.751","0.1717","307.658","354617.925","3381182.025","7",,"Dry bottom wall-fired boiler","Coal",
"IA","Walter Scott Jr. Energy Center","1082","4",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","60.0","9785.0",,"7.683","0.0798","3.847","11503.4","109682.5","7",,"Dry bottom wall-fired boiler","Coal",
"ID","Bennett Mountain Power Project","55733","CT01",,"5","2016","ARP","100.55","15921.84",,"0.05","0.089","7.106","9891.882","166451.31","10","WECC","Combustion turbine","Pipeline Natural Gas",
"ID","Evander Andrews Power Complex","7953","CT1",,"5","2016","ARP","5.1","769.08",,"0.002","0.0573","0.18","487.424","8203.0","10","WECC","Combustion turbine","Pipeline Natural Gas",
"ID","Evander Andrews Power Complex","7953","CT2",,"5","2016","ARP","5.0","188.78",,"0.001","0.102","0.095","131.579","2211.442","10","WECC","Combustion turbine","Pipeline Natural Gas",
"ID","Evander Andrews Power Complex","7953","CT3",,"5","2016","ARP","10.5","323.2",,"0.001","0.1075","0.207","246.735","4156.805","10","WECC","Combustion turbine","Pipeline Natural Gas",
"ID","Langley Gulch Power Plant","57028","CT1",,"5","2016","ARP","298.94","76872.08",,"0.151","0.0143","2.384","29931.845","503666.467","10",,"Combined cycle","Pipeline Natural Gas",
"ID","Rathdrum Combustion Turbine Project","7456","1",,"5","2016","ARP","0.0",,,,,,,,"10","WECC","Combustion turbine","Pipeline Natural Gas",
"ID","Rathdrum Combustion Turbine Project","7456","2",,"5","2016","ARP","54.42","3558.3",,"0.011","0.0538","0.736","2174.114","36581.641","10","WECC","Combustion turbine","Pipeline Natural Gas",
"ID","Rathdrum Power, LLC","55179","CTGEN1",,"5","2016","ARP","375.31","82528.32",,"0.176","0.0174","4.195","34815.468","585842.113","10",,"Combined cycle","Pipeline Natural Gas",
"IL","Alsey Station","7818","ACT1",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.67","5.36",,"0.0","0.18","0.012",,"129.109","5","SERC","Combustion turbine","Pipeline Natural Gas",
"IL","Alsey Station","7818","ACT2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.35","1.75",,"0.0","0.227","0.008",,"66.955","5","SERC","Combustion turbine","Pipeline Natural Gas",
"IL","Alsey Station","7818","ACT5",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.95","3.95",,"0.0","0.282","0.023",,"161.955","5","SERC","Combustion turbine","Pipeline Natural Gas",
"IL","Aurora","55279","AGS01",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Aurora","55279","AGS02",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Aurora","55279","AGS03",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Aurora","55279","AGS04",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Aurora","55279","AGS05",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.79","0.17",,"0.0","0.278","0.011","4.898","82.278","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Aurora","55279","AGS06",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.87","0.62",,"0.0","0.287","0.014","5.456","91.399","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Aurora","55279","AGS07",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.83","0.0",,"0.0","0.3185","0.013","5.214","87.398","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Aurora","55279","AGS08",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.87","0.0",,"0.0","0.1815","0.008","5.454","92.316","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Aurora","55279","AGS09",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Aurora","55279","AGS10",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Baldwin Energy Complex","889","1",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","639.68","275463.44",,"104.607","0.0842","110.633","282821.024","2696609.88","5","MAIN","Cyclone boiler","Coal",
"IL","Baldwin Energy Complex","889","2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","744.0","359875.0",,"137.779","0.0718","122.245","352901.3","3364815.7","5","MAIN","Cyclone boiler","Coal",
"IL","Baldwin Energy Complex","889","3",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","250.8","103774.0",,"40.886","0.0969","50.568","116485.52","1110654.64","5","MAIN","Tangentially-fired","Coal",
"IL","Calumet Energy Team, LLC","55296","**1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Calumet Energy Team, LLC","55296","**2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Coffeen","861","01",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","577.1","156428.04",,"1.107","0.0804","48.74","155474.573","1482409.635","5","MAIN","Cyclone boiler","Coal",
"IL","Coffeen","861","02",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","641.91","265545.24",,"1.161","0.0689","76.926","276151.487","2633016.101","5","MAIN","Cyclone boiler","Coal",
"IL","Cordova Energy Company","55188","1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combined cycle","Pipeline Natural Gas",
"IL","Cordova Energy Company","55188","2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combined cycle","Pipeline Natural Gas",
"IL","Crete Energy Park","55253","GT1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","62.73","3893.62",,"0.015","0.0283","0.713","2984.633","50220.781","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Crete Energy Park","55253","GT2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","64.65","4316.58",,"0.016","0.0251","0.67","3161.094","53192.955","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Crete Energy Park","55253","GT3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","46.75","2623.37",,"0.01","0.0259","0.455","2074.774","34915.459","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Crete Energy Park","55253","GT4",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","39.66","2151.47",,"0.009","0.0254","0.373","1727.887","29071.204","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Dallman","963","31"," CS3132","5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","361.27","18967.25",,"11.313","0.1384","13.818","22069.008","215090.555","5","MAIN","Cyclone boiler","Coal",
"IL","Dallman","963","32"," CS3132","5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","23.77","19.43",,"0.008","0.1084","0.028","23.778","231.761","5","MAIN","Cyclone boiler","Coal",
"IL","Dallman","963","33",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","658.01","92763.36",,"57.758","0.0614","28.258","96960.447","945050.989","5","MAIN","Tangentially-fired","Coal",
"IL","Dallman","963","4",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","628.43","106397.0",,"28.885","0.0498","24.681","102342.372","998516.649","5","MAIN","Wet bottom wall-fired boiler","Coal",
"IL","Duck Creek","6016","1",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","637.45","179703.0",,"1.503","0.0957","81.571","192330.7","1833813.15","5","MAIN","Dry bottom wall-fired boiler","Coal",
"IL","Dynegy Lee II, LLC","55236","CT1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","3.47","124.97",,"0.001","0.0758","0.05","113.143","1904.28","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Dynegy Lee II, LLC","55236","CT2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","1.03","38.19",,"0.0","0.098","0.026","33.802","568.203","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Dynegy Lee II, LLC","55236","CT3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","1.03","36.27",,"0.0","0.069","0.016","31.984","538.45","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Dynegy Lee II, LLC","55236","CT4",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","1.19","34.04",,"0.0","0.0785","0.018","31.761","533.904","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Dynegy Lee II, LLC","55236","CT5",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.9","37.8",,"0.0","0.044","0.013","34.11","573.75","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Dynegy Lee II, LLC","55236","CT6",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.92","28.8",,"0.0","0.1135","0.034","26.16","440.14","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Dynegy Lee II, LLC","55236","CT7",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.9","30.8",,"0.0","0.037","0.014","27.048","454.896","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Dynegy Lee II, LLC","55236","CT8",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.88","29.08",,"0.0","0.1495","0.026","25.88","435.994","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","E D Edwards","856","2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","262.24","40464.12",,"80.817","0.239","48.862","42775.675","407859.809","5","MAIN","Dry bottom wall-fired boiler","Coal",
"IL","E D Edwards","856","3",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","676.46","165730.03",,"295.495","0.0674","49.043","154455.028","1472688.801","5","MAIN","Dry bottom wall-fired boiler","Coal",
"IL","Elgin Energy Center, LLC","55438","CT01",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","13.67","1376.18",,"0.005","0.0685","0.43","934.52","15723.867","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Elgin Energy Center, LLC","55438","CT02",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","12.62","1262.92",,"0.004","0.0625","0.409","847.814","14266.992","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Elgin Energy Center, LLC","55438","CT03",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","21.35","2127.38",,"0.007","0.0661","0.706","1439.755","24226.097","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Elgin Energy Center, LLC","55438","CT04",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Elwood Energy Facility","55199","1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","8.07","964.84",,"0.003","0.0548","0.251","679.169","11428.874","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Elwood Energy Facility","55199","2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","20.38","2697.1",,"0.009","0.0456","0.581","1790.206","30122.407","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Elwood Energy Facility","55199","3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","19.62","2523.07",,"0.009","0.0431","0.513","1749.834","29444.341","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Elwood Energy Facility","55199","4",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","19.81","2532.34",,"0.009","0.0421","0.554","1756.514","29554.427","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Elwood Energy Facility","55199","5",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","323.65","51214.58",,"0.074","0.0366","8.516","32419.19","545514.79","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Elwood Energy Facility","55199","6",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","317.76","49807.32",,"0.073","0.037","7.722","32065.894","539583.633","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Elwood Energy Facility","55199","7",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","306.92","48476.13",,"0.07","0.0383","8.146","30550.902","514092.95","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Elwood Energy Facility","55199","8",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","303.21","47469.62",,"0.069","0.0406","8.613","30143.482","507225.063","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Elwood Energy Facility","55199","9",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","31.86","4724.58",,"0.007","0.0448","0.872","3055.961","51428.719","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Factory Gas Turbine","8016","2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","1.65","21.8",,"0.105","1.2007","0.252",,"420.0","5",,"Combustion turbine","Diesel Oil",
"IL","Freedom Power Project","7842","CT1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","1.5","52.1",,"0.0","0.106","0.026","32.14","541.065","5","SERC","Combustion turbine","Pipeline Natural Gas",
"IL","Gibson City Energy Center, LLC","55201","GCTG1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","113.41","10593.81",,"0.032","0.1444","7.439","6397.01","107634.048","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Gibson City Energy Center, LLC","55201","GCTG2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","34.98","3076.9",,"0.01","0.078","1.21","2036.714","34269.878","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Goose Creek Power Plant","55496","CT-01",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","24.03","1330.93",,"0.005","0.0266","0.213","947.443","15944.368","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Goose Creek Power Plant","55496","CT-02",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","10.96","627.32",,"0.002","0.0223","0.083","441.038","7419.558","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Goose Creek Power Plant","55496","CT-03",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","18.37","971.96",,"0.004","0.0215","0.13","712.436","11989.107","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Goose Creek Power Plant","55496","CT-04",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","18.11","954.59",,"0.003","0.0236","0.138","686.939","11560.778","5",,"Combustion turbine","Pipeline Natural Gas",
"IL","Goose Creek Power Plant","55496","CT-05",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","21.4","1193.44",,"0.004","0.0256","0.184","851.84","14333.102","5",,"Combustion turbine","Pipeline Natural Gas",
