State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Month, Year, Program(s), Operating Time, Gross Load (MW-h), Steam Load (1000lb), SO2 (tons), Avg. NOx Rate (lb/MMBtu), NOx (tons), CO2 (short tons), Heat Input (MMBtu), EPA Region, NERC Region, Unit Type, Fuel Type (Primary)
"AL","Colbert","47","CCT8",,"5","2016","CSNOX, CSNOXOS, CSSO2G2","2.0","29.0",,"0.022","0.529","0.08","23.0","357.0","4",,"Combustion turbine","Pipeline Natural Gas",
"AL","Decatur Energy Center","55292","CTG-1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","335.4","63120.3",,"0.135","0.0107","2.048","26711.176","449477.346","4",,"Combined cycle","Pipeline Natural Gas",
"AL","Decatur Energy Center","55292","CTG-2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","344.54","64780.04",,"0.138","0.0108","2.146","27274.628","458958.883","4",,"Combined cycle","Pipeline Natural Gas",
"AL","Decatur Energy Center","55292","CTG-3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","375.29","52245.71",,"0.134","0.0122","2.4","26587.439","447244.795","4",,"Combined cycle","Pipeline Natural Gas",
"AL","E B Harris Generating Plant","7897","1A",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","591.25","149631.25",,"0.308","0.0216","6.77","60975.625","1026025.8","4",,"Combined cycle","Pipeline Natural Gas",
"AL","E B Harris Generating Plant","7897","1B",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","581.25","150111.25",,"0.305","0.0185","6.047","60514.675","1018284.05","4",,"Combined cycle","Pipeline Natural Gas",
"AL","E B Harris Generating Plant","7897","2A",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","523.75","139655.0",,"0.281","0.0192","5.538","55657.0","936535.625","4",,"Combined cycle","Pipeline Natural Gas",
"AL","E B Harris Generating Plant","7897","2B",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","517.0","140910.0",,"0.279","0.0173","5.15","55298.45","930492.175","4",,"Combined cycle","Pipeline Natural Gas",
"AL","E C Gaston","26","1"," CS0CAN","5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP, MATS","0.0",,,,,,,,"4","SERC","Dry bottom wall-fired boiler","Coal, Pipeline Natural Gas",
"AL","E C Gaston","26","2"," CS0CAN","5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP, MATS","0.0",,,,,,,,"4","SERC","Dry bottom wall-fired boiler","Coal, Pipeline Natural Gas",
"AL","E C Gaston","26","3"," CS0CBN","5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP, MATS","0.0",,,,,,,,"4","SERC","Dry bottom wall-fired boiler","Coal, Pipeline Natural Gas",
"AL","E C Gaston","26","4"," CS0CBN","5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP, MATS","0.0",,,,,,,,"4","SERC","Dry bottom wall-fired boiler","Coal, Pipeline Natural Gas",
"AL","E C Gaston","26","5"," MS5B, MS5A","5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP, MATS","744.0","495791.0",,"173.698","0.0646","165.37","524604.9","5113099.4","4","SERC","Tangentially-fired","Coal",
"AL","Gadsden","7","1"," CS0BAN","5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","307.25",,"71186.75","0.316","0.1032","4.541","5213.58","87949.575","4","SERC","Tangentially-fired","Pipeline Natural Gas",
"AL","Gadsden","7","2"," CS0BAN","5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","616.75",,"150973.0","0.674","0.1035","9.273","10557.72","178103.85","4","SERC","Tangentially-fired","Pipeline Natural Gas",
"AL","Gorgas","8","10"," CS0DCN","5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","616.5","384781.25",,"96.927","0.171","313.17","401702.607","3915229.725","4","SERC","Tangentially-fired","Coal",
"AL","Gorgas","8","8"," CS0DCN","5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","598.25","59893.0",,"14.274","0.1824","62.895","64281.294","626520.8","4","SERC","Tangentially-fired","Coal",
"AL","Gorgas","8","9"," CS0DCN","5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","622.5","61103.0",,"14.461","0.1841","64.283","65434.702","637763.0","4","SERC","Tangentially-fired","Coal",
"AL","Greene County","10","1"," CS0EBN","5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","84.0","2189.5",,"48.554","0.1578","6.824","5756.025","56104.4","4","SERC","Cell burner boiler","Coal, Pipeline Natural Gas",
"AL","Greene County","10","2"," CS0EBN","5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","0.0",,,,,,,,"4","SERC","Dry bottom wall-fired boiler","Coal, Pipeline Natural Gas",
"AL","Greene County","10","CT10",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","15.75","989.5",,"0.004","0.0806","0.519","813.401","12929.975","4","SERC","Combustion turbine","Pipeline Natural Gas",
"AL","Greene County","10","CT2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","4.5","268.0",,"0.001","0.082","0.146","233.802","3599.8","4","SERC","Combustion turbine","Pipeline Natural Gas",
"AL","Greene County","10","CT3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","6.25","343.0",,"0.001","0.0693","0.157","337.4","4707.75","4","SERC","Combustion turbine","Pipeline Natural Gas",
"AL","Greene County","10","CT4",,"5","2016","CSNOXOS, CSSO2G2, ARP, CSNOX","4.25","249.5",,"0.001","0.0884","0.147","226.1","3317.425","4","SERC","Combustion turbine","Pipeline Natural Gas",
"AL","Greene County","10","CT5",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","5.75","364.0",,"0.001","0.0708","0.164","291.399","4691.525","4","SERC","Combustion turbine","Pipeline Natural Gas",
"AL","Greene County","10","CT6",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","5.0","294.0",,"0.001","0.0738","0.143","262.4","3911.8","4","SERC","Combustion turbine","Pipeline Natural Gas",
"AL","Greene County","10","CT7",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","28.5","1899.75",,"0.007","0.0806","0.993","1567.096","24985.025","4","SERC","Combustion turbine","Pipeline Natural Gas",
"AL","Greene County","10","CT8",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","16.75","1137.0",,"0.004","0.0733","0.531","904.404","14629.625","4","SERC","Combustion turbine","Pipeline Natural Gas",
"AL","Greene County","10","CT9",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","17.5","1163.5",,"0.005","0.0708","0.538","948.097","15380.825","4","SERC","Combustion turbine","Pipeline Natural Gas",
"AL","Hillabee Energy Center","55411","CT1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","744.0","274136.0",,"0.555","0.0079","7.284","109903.3","1849319.8","4",,"Combined cycle","Pipeline Natural Gas",
